Filename,Weight Initialization,Activation,Class weights,Kernel Size,Max Norm,Dropout -filters,Dropout - dense,L2 - filters,L2- dense,Batch Size,Optimizer,Learning Rate,Lr decay,BN momentum,Number of filters,Number of Dense Neurons,Best Val Acc Per Cardiac Cycle,Epoch,Training Acc per cardiac cycle,Sensitivity,Specificity,Macc,No of Abnormal Strongly Mislabeled,No of Normal Strongly Mislabeled,Comments
fold2_noFIR 2018-01-14 16:38:36.231192,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,4.75e-06,,0.99,"(8, 4)",20,76.2490857829,18.0,87.2298298504,64.6783625731,93.567251462,79.1228070175,,,
fold2_noFIR 2018-01-14 16:38:45.457673,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0008938633,,0.99,"(8, 4)",20,86.4946191662,18.0,92.2581881357,88.6549707602,93.4502923977,91.052631579,,,
fold2_noFIR 2018-01-14 16:59:23.411330,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0001409278,,0.99,"(8, 4)",20,82.4021971183,13.0,92.3799426267,76.4411027569,97.4101921471,86.925647452,,,
fold2_noFIR 2018-01-14 16:59:40.301386,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0346041186,,0.99,"(8, 4)",20,46.358792186,0.0,82.0809488532,0.0,100.0,50.0,,,
*fold2_noFIR 2018-01-14 17:23:19.238176,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.008620454,,0.99,"(8, 4)",20,46.358792186,0.0,82.0809488532,0.0,100.0,50.0,,,
fold2_noFIR 2018-01-14 17:22:57.783350,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0025685977,,0.99,"(8, 4)",20,84.1858590761,14.0,89.5196610146,80.2005012531,93.3166248956,86.7585630743,,,
fold2_noFIR 2018-01-14 17:35:29.941791,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,6.67e-05,,0.99,"(8, 4)",20,82.4693643051,14.0,92.0175259313,77.6106934002,96.7418546366,87.1762740184,,,
fold2_noFIR 2018-01-14 17:36:47.587296,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0001893414,,0.99,"(8, 4)",20,82.7410182578,13.0,92.1514704703,77.0258980785,96.9089390142,86.9674185464,,,
fold2_noFIR 2018-01-14 18:36:04.062787,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0013612032,,0.99,"(8, 4)",20,86.2307267551,13.0,90.8065505086,86.9674185464,87.2180451128,87.0927318296,,,
fold2_noFIR 2018-01-14 18:36:30.697767,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0010423186,,0.99,"(8, 4)",20,86.0441512363,8.0,91.3342992914,88.3876357561,90.3926482874,89.3901420217,,,
fold2_noFIR 2018-01-14 18:52:42.903323,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0010654489,,0.99,"(8, 4)",20,86.7913488716,18.0,92.0438403762,89.8245614035,91.2280701754,90.5263157895,,,
fold2_noFIR 2018-01-14 18:52:52.803993,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012381101,,0.99,"(8, 4)",20,86.5844739374,8.0,91.0779068158,88.8053467001,91.3951545531,90.1002506266,,,
fold2_noFIR 2018-01-15 09:59:28.865491,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0014714959,,0.99,"(8, 4)",20,85.4351687438,14.0,90.432089754,86.4661654135,89.0559732665,87.76106934,,,
fold2_noFIR 2018-01-15 09:59:52.070578,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012534539,,0.99,"(8, 4)",20,87.4233174683,13.0,91.6005459976,91.0609857978,88.3040935673,89.6825396825,,,
fold2_noFIR 2018-01-15 10:22:04.496608,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,,0.99,"(8, 4)",20,86.9262802872,14.0,91.6983583584,90.3091060986,90.559732665,90.4344193818,,,
fold2_noFIR 2018-01-15 10:22:19.715251,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012067406,,0.99,"(8, 4)",20,86.5486514391,15.0,91.7757323155,88.2205513785,92.3976608187,90.3091060986,,,
fold2_noFIR 2018-01-15 10:54:38.496166,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.001199932,,0.99,"(8, 4)",20,87.5352627775,14.0,91.7762797727,90.3091060986,89.3901420217,89.8496240602,,,
